product_id,category,original_price
vfoWflekKTfI8RLd,shoes,125.6
fv9UcGlbaaC50Dod,shoes,111.99
4Qm8RsYXaoob5ei5,shoes,152.99
RBZTCdq3jmEYWdQG,shoes,109.99
24vpcjMKjW5RjAIX,shoes,114.44
8ajinQYi14yeoYyB,shoes,109.13
1bW3wyTxsXWjwJND,shoes,117.79
9QYN4K8FBatoJUWo,shoes,115.99
C3ESBtQkFh2wuqsn,shoes,104.99
1ojtGrkRcOpCXJRq,shoes,126.99
CeXtfFGoLCiZZ8J1,shoes,139.86
sJFEQYvbF6Nwlt2P,shoes,125.53
GtTNOIUUhVEVa7yk,shoes,154.99
FtexqOGVhDb6MoO7,shoes,102.4
BkgvPyoIDU1SENNF,shoes,124.99
yP450yVgXbu9eLFC,shoes,149.99
HsTeRS5Z4IMHqkU9,shoes,139.78
xVZGzeGSuiBBy2lq,shoes,108.94
iegAaX5vYUY7FppC,shoes,127.99
1YsCJO1nl5mwDE9I,shoes,96.99
i8ffjUw3l8K3a9wg,shoes,118.99
2lJd933kCQpWus9S,shoes,136.99
KboQWur25Bzn29lJ,shoes,117.93
JellxJ1G0KBWFLFC,shoes,193.64
x1ERhFYEpIcr0eQ1,shoes,146.99
JN8Ny5lSWM4Z6aD2,shoes,127.99
mp1ORfpFe0BfrYFn,shoes,87.99
pzw26SptRpf0M4e1,shoes,119.99
D2fqvKJjSAMlExXP,shoes,96.99
F7SPlqofC4VTKc1X,shoes,134.99
8sbJsesIjpHJBW8c,shoes,133.19
DHBF4k7CYiT4IVjM,shoes,132.29
UEgc97gD7GLSgmlK,shoes,112.99
yk7AlpN6r0kBsAir,shoes,95.99
jaBGCYOuNaBh3P7n,shoes,91.5
aSB7K39TCWzIckvi,shoes,136.99
AQpmXH7z2r3PGbPk,shoes,103.89
ssWpBV3cIpFTisL7,shoes,99.58
IHsZp21bw3Z3PY1Q,shoes,92.25
vY2FPTK4pgo9Mw7s,shoes,126.99
utDwifsy3bfN5nWU,shoes,122.99
kbz6HQeBzBSZVhvv,shoes,136.99
sWrJRuYh8WQJejFG,shoes,134.99
9HFIvyKaGKpuHGeZ,shoes,102.99
ItyHsNYE4h5EtQaO,shoes,117.99
3sHAwgBH9m8UXvGw,shoes,115.99
u7hunXgSd1HzTZIc,shoes,127.99
wF9kxmfExfZu0qbr,shoes,154.99
GkWisticIkSambjr,shoes,131.99
97ltKlTzIOo5rhsw,shoes,122.63
Lf1eJnBjPfO9cyRt,shoes,104.99
Vn1vGHbJJoRj8EMC,shoes,111.09
iIv7jTvG7rN1zTUK,shoes,85.99
dvmuuPyIJiiP2g93,shoes,118.38
J7koKvShK7FbeEy9,shoes,135.99
yvu1CjTno5i94dQ0,shoes,99.39
Gr47waQAJTzottxr,shoes,109.99
zwoDC4OonccCfG30,shoes,114.46
gF5uGniOgdau5GfK,shoes,124.99
AAlSiTYsomFdXkdx,shoes,137.34
lNNLx3yLswvDvon9,shoes,132.99
jsEVoNK9oJuI0R2Y,shoes,117.41
OGRVMe6z4xkSRfAq,shoes,127.4
byBT0jpvQSWoufJQ,shoes,91.1
LR8DNklZbDe0PZeR,shoes,114.98
kyqC3KjSuCeYOh6L,shoes,90.99
nDPWkZ52XFLVBbxi,shoes,126.32
ue646wJCQFymihg3,shoes,115.99
eEsTThwpXq6oEG2e,shoes,97.62
SjmM9wCneZ7Oq4oH,shoes,120.99
ZRj7Ep8Ymlq6uqxx,shoes,150.99
SxZfnA7qUSc4Fib5,shoes,106.26
etwDufT2mKnf2fCF,shoes,118.99
uQOKi85GNgpLFjuE,shoes,147.99
t34itiPlW5DOgzK5,shoes,116.08
qJO95jdCZF856FCo,shoes,82.17
9TBdxXwYprTizTcR,shoes,127.99
2W7MCLfGWzSaUhmn,shoes,109.99
Vhr5vNhCaCAQm60k,shoes,159.99
tphI8kwtpFsZxD5x,shoes,135.75
aCpIcyuhOUQ0j2fz,shoes,103.99
RhFXm5ujOdjL5Gfm,shoes,139.55
OIX39tlCTSpTZbd7,shoes,90.99
3zSfhTsxWYw0o13b,shoes,130.99
HieqKuPlA8BJdJQY,shoes,114.8
EOCv0emVwmAVIozf,shoes,151.99
ngaJlzbMUIEHooLT,shoes,111.85
cfOUKSRFQtOP3X62,shoes,133.54
KJJcnwDTcv4JYBuQ,shoes,149.15
aNa9V3xCa0imuOyW,shoes,123.99
Ykp4BWtCt4Wd9Svc,shoes,108.99
lp1JZkBf49qeRGR9,shoes,100.97
pjDFRYTfiHzo5003,shoes,153.59
wM6sViMQ7zC9JAVi,shoes,134.67
IMxTea7bVFV81Wq1,shoes,141.99
1ybLUrFzuFS3KAJ2,shoes,131.47
ramXyqxB641BQ6Qr,shoes,114.99
IJ3zDPFLcO1G5QKq,shoes,117.53
GXbyNwzwhu1ropsi,shoes,136.22
YN9GukoxCrQ8wmee,shoes,104.66
m7rKZeP9gXXllUPN,shoes,111.99
VMgJQJp0OMNoYJn5,shoes,115.99
wZr5NJzC1QON75Ub,shoes,128.99
n7MlJserXXQxQGNX,shoes,115.44
fEORGppluWFYwFHm,shoes,100.99
5HNRuPEchT3HD7nJ,shoes,109.93
OOLQVcrI4VJHANJZ,shoes,136.47
Klflee1NSzDXXUSN,shoes,121.96
4W1pKqK2aHufIYUW,shoes,93.99
cTVj6U4SotbwrMJh,shoes,118.99
mr5Bm0z1iQtuSnAo,shoes,142.99
CQR2IFz5PDv3kOBS,shoes,92.99
NHBF503BDCEwgjh5,shoes,86.76
BpnzfgFsBdx84xIO,shoes,100.26
1pyzb9foW7H5upkp,shoes,96.9
eg1peD7LUEjAjPOQ,shoes,95.85
9IBUpStUJ2iw1WCx,shoes,116.99
ePlpQcapTxpbOahO,shoes,68.6
Qktc21iLCV0mENDU,shoes,127.99
z2UuajYMcNvZIq7K,shoes,115.99
6gvt6wtr9S3pQdrb,shoes,102.99
CtpytZy6QuKYaKcp,shoes,137.54
hGwKOo5INg34YLEx,shoes,100.99
t9GZbDsZixG6pSXT,shoes,117.99
anxtnaQxXaI7kOzg,shoes,79.26
a3gxlvNQ1q6Qhrly,shoes,127.99
rmaOCAZcbkXbDSQO,shoes,121.73
KjbdWQ3gY98hsyWm,shoes,97.36
pwYF6OgH67D8psvv,shoes,125.99
K8KfsZd6CL73g3A3,shoes,120.99
e9lChddImZGkAdmA,shoes,77.99
9TAby1Rf3flzXL6O,shoes,102.87
hH5fQyRWMJTh6cKh,shoes,135.99
3gi0gICte2YvPVaF,shoes,127.99
Fh6SVOB6lsgrYCF9,shoes,128.99
C2vpb5XHoXwlXTY4,shoes,92.36
3HhR2u8eO6cfR0zU,shoes,80.99
yMnmGudnRHmYkNOM,shoes,131.58
FBW1f9YCClmZgc6I,shoes,142.99
5NnIXwK4ePXu1cAa,shoes,116.99
UNxrHGkKrneaSQzS,shoes,114.99
7FJU1f7pHdJ8qsyk,shoes,124.99
L2dwVp4zX6V8wUFC,shoes,110.58
zgtERSNj4YQ1nPLF,shoes,106.22
pvEujaq5tr3z7G9d,shoes,128.99
LivULqaYEy7XYAjZ,shoes,118.99
vQFeFOf2Wlz8mYv0,shoes,135.91
Bp8FtgOnnSyQvimT,shoes,102.24
4JWafagRbcy1Xg9f,shoes,157.76
TsDEZzUcf8Yrxo9r,shoes,91.12
naWdu0SUv9KnhvEJ,shoes,112.99
6P3Ntl8wky3kJX8M,shoes,136.99
sTI5cSPEnNDQQR6e,shoes,103.2
eqO81PnM9wZkW8Bd,shoes,90.99
BNd5Ld0I31fUpRVo,shoes,150.02
r72EPsfvcX2kwv7L,shoes,109.99
wZRqKFPT722XJW7x,shoes,115.95
jEx81ATe8rPXn0Lk,shoes,86.99
XxP2ZsgVEkNSnNA4,shoes,124.64
3xHGzeCA4jSgMiyF,shoes,128.99
XUR3h812dem4ZvgN,shoes,152.99
JOmMKZHoNEIcBCgX,shoes,91.99
G36cpvC6HUUYVOUe,shoes,143.99
5rMhNjGiH1RhVfju,shoes,130.99
CHJVl0tytcvf0Pfa,shoes,138.96
X5PK5fWhJeia0zh8,shoes,92.99
lQgj1F9O7IGOHLyd,shoes,123.99
oJRNrMWWDYTCqmGa,shoes,124.4
Fou0alhBBHfn96Vu,shoes,112.99
jxUiEbgY0EFsTItf,shoes,82.99
KBHQNeQpRdP2wKWw,shoes,145.99
pSXjehJ50WV81tbp,shoes,134.85
9MFFm0pVcAewWLHP,shoes,124.82
IDCz2JMaoGdzBDah,shoes,137.17
9CvMBF7rjt6Pu4Ez,shoes,91.99
wQNCiPnU9Ct7Lx0Y,shoes,131.35
WI0TVqhvMsQapPIK,shoes,110.99
O9vShOOe7sPxvRhP,shoes,120.9
OiytT8XCIrKX40RB,shoes,127.99
brfgJJ9CeDIc2TZO,shoes,111.91
foAGNTSDKkdakb2s,shoes,110.9
JzrdvPyyjP7YTrTq,shoes,119.12
7HXW8gnFs2IeJvdR,shoes,156.31
0gRt3RqDfr8u9Kcq,shoes,112.99
eiumbc061xBhGkI0,shoes,116.65
UOh5NzItkKW05wRN,shoes,136.63
MwGo1Tll5CoS3YsA,shoes,122.44
rxBihNIxuoFHor0u,shoes,139.61
G8cf85RiNuHEAKPz,shoes,119.99
k1eAtELs00B1YSiN,shoes,118.99
E2KPuJurmj9JsDfv,shoes,150.89
KxWsZLRtrKOmWWAB,shoes,96.99
L6FeiyrhsoxSHAmP,shoes,104.99
3YXvUvyIdd3q9O41,shoes,145.99
b1tflXsjeMZIpcxN,shoes,120.99
VRXKUMM64lNwkk4v,shoes,128.99
cXbFw8tep2EcqtTo,shoes,101.38
2SZiNar2jJxXhEZs,shoes,139
8HdbwHJJkq8ppYAw,shoes,85.05
mil1HEPle0cpbSkn,shoes,137.61
eJn0kvA7iXpbaPtW,shoes,119.99
AY2MJ6ZjNMwedvgx,shoes,119.99
qXRnijLcifz3ylAP,shoes,87.98
avuiF3LySwOuOXL7,shoes,110.99
L4ElSEzqSvLefpSe,shoes,109.99
wfogp9A092bszsNB,shoes,100.99
dJS5icr3b1BGBSC9,shoes,144.99
II9GIb8AacVARFy1,shoes,129.99
l7aHIlWeWUNkXKZo,shoes,129.99
hFMPLgNJ7wJ3Q0CR,shoes,106.99
27onFCMJ8St9Fs4j,shoes,148.99
RWCh3eIzOUUHkMza,shoes,117.43
TUsbHwr1yy0NOHot,shoes,170.32
2Y7IXCoK80YeZLSO,shoes,119.99
XYUm6cZgILfSl85A,shoes,116.76
E3PCHx2wAeFZIdQ7,shoes,95.83
ioxXAyffp2Cms4wi,shoes,117.68
2c2XuFE0UUo7y9tS,shoes,133.89
9CqIqRDFvqVnB11l,shoes,91.45
fT22U56M19pW1Wq5,shoes,130.3
LZaLFOuhCRp1sduM,shoes,123.69
Kt0bDenKhV2KZwap,shoes,121.99
KAbDQV23tEveAa36,shoes,91.56
5sqLBqHSXkfEKItG,shoes,83.82
NkHH7P6l9qxKrYuD,shoes,102.34
peTG6jibtpIqKGo1,shoes,101.52
8w3qkay9f4Xwe9Le,shoes,140.99
5He4HQfZPsIJWR2U,shoes,92.24
NurSFYbi9TgOdkFS,shoes,127.38
9upBbVMPTodDZczz,shoes,124.99
Tjf8IkECErAFH5SA,shoes,117.38
AE2kK39EGBXLBZGI,shoes,134.98
2YSUuTJMQ4LYRPa3,shoes,127.66
nYTTu4FXNTQeM9RK,shoes,134.99
XSThbuFMkYzTb0Sb,shoes,93.99
tP7KBtLKBpUCaKeI,shoes,107.51
FMVjD8xzjrttdizC,shoes,131.99
PiPBXMwc5KaFItJ3,shoes,113.99
lA8m5dAn1hBxhtQC,shoes,125.17
s6UWaUyaT68MNs05,shoes,138.83
Geh3tTVlWXDZ43AN,shoes,115.99
3qEMDMZas2AFMzmy,shoes,132.99
1d0VomgZR90D2IYm,shoes,95.99
nw2rfY1aa7P35z9n,shoes,109.44
3DS1puOqqgcXd29L,shoes,146.87
i2tNIYbXFD16PArk,shoes,89.99
DIQHWVRS8XGi5ydV,shoes,120.94
x21Lwxre1KTfrxXf,shoes,110.99
